"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jose Reyes","NYM",".263","0.86","19.7%","37.2%","43.1%","18.1%","8.2%","14","8.9%","1","12.5%","41.6%","36.0%","22.3%","26.0%","47.2%","26.7%","1736"
"Ozzie Albies","ATL",".316","1.01","18.8%","40.9%","40.3%","1.4%","8.2%","5","6.8%","1","33.3%","42.9%","35.3%","21.7%","14.7%","52.2%","33.2%","16556"
"Chris Young","BOS",".275","0.78","19.0%","35.4%","45.5%","18.6%","8.1%","5","7.5%","0","0.0%","52.4%","31.7%","15.9%","26.5%","43.9%","29.6%","3882"
"Ryan Goins","TOR",".283","1.45","14.9%","50.3%","34.8%","9.8%","8.0%","4","2.5%","4","40.0%","33.1%","34.3%","32.5%","19.6%","52.7%","27.7%","9807"
"Ketel Marte","ARI",".290","1.32","20.7%","45.1%","34.2%","6.3%","7.9%","5","6.0%","1","25.0%","35.1%","39.4%","25.5%","17.6%","54.3%","28.2%","13613"
"Wilmer Difo","WSN",".332","2.05","24.4%","50.8%","24.8%","6.3%","7.9%","12","9.3%","2","16.7%","39.8%","35.3%","24.8%","22.2%","54.9%","22.9%","14320"
"Jacoby Ellsbury","NYY",".304","1.48","23.1%","45.9%","31.0%","10.0%","7.8%","9","6.8%","3","60.0%","42.0%","30.2%","27.8%","22.7%","51.2%","26.1%","4727"
"DJ LeMahieu","COL",".351","2.82","24.7%","55.6%","19.7%","5.8%","7.8%","10","3.4%","1","20.0%","21.6%","40.0%","38.3%","15.4%","54.1%","30.6%","9874"
"Alex Gordon","KCR",".261","1.29","24.4%","42.6%","33.0%","9.5%","7.8%","6","4.0%","2","50.0%","43.0%","34.8%","22.2%","19.4%","51.4%","29.2%","5209"
"Ichiro Suzuki","MIA",".297","2.33","18.8%","56.9%","24.4%","10.3%","7.7%","7","7.7%","0","0.0%","32.7%","34.6%","32.7%","27.2%","54.3%","18.5%","1101"
"Aledmys Diaz","STL",".282","1.21","16.6%","45.6%","37.8%","13.2%","7.7%","12","10.9%","3","60.0%","49.6%","33.3%","17.1%","23.2%","53.3%","23.6%","15937"
"Adam Engel","CHW",".247","0.91","13.6%","41.2%","45.2%","21.3%","7.5%","13","17.8%","2","13.3%","43.2%","30.7%","26.0%","27.1%","47.4%","25.5%","15082"
"Josh Reddick","HOU",".339","0.79","24.2%","33.6%","42.3%","9.1%","7.4%","7","5.0%","2","50.0%","35.9%","36.1%","28.0%","17.2%","51.7%","31.1%","3892"
"Jorge Polanco","MIN",".278","0.89","19.3%","37.9%","42.8%","10.3%","7.4%","12","7.7%","5","35.7%","44.2%","33.8%","22.0%","19.9%","52.5%","27.7%","13152"
"Kevan Smith","CHW",".323","2.44","19.5%","57.1%","23.4%","7.4%","7.4%","4","3.0%","1","25.0%","33.2%","32.8%","34.0%","21.3%","56.2%","22.6%","12284"
