"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Tommy Pham","- - -","622","392","92.2","112.6","7.7","31","7.9%","189","48.2%",".236",".238",".374",".383",".304",".311","2967"
"Bryce Harper","PHI","426","290","92.1","114.3","11.8","37","12.8%","139","47.9%",".286",".288",".514",".527",".369",".380","11579"
"Adolis Garcia","TEX","657","428","92.1","113.0","13.1","55","12.9%","203","47.4%",".250",".244",".456",".447",".324",".322","19287"
"Julio Rodriguez","SEA","560","367","92.0","117.2","10.1","48","13.1%","186","50.7%",".284",".254",".509",".460",".366",".337","23697"
"Franmil Reyes","- - -","473","284","92.0","112.4","9.9","32","11.3%","130","45.8%",".221",".203",".365",".358",".280",".275","14566"
"Sam Hilliard","COL","200","119","92.0","115.1","13.4","11","9.2%","58","48.7%",".184",".216",".264",".361",".251",".303","17954"
"Oneil Cruz","PIT","361","206","91.9","122.4","8.3","32","15.5%","94","45.6%",".233",".223",".450",".410",".320",".304","21711"
"Mitch Haniger","SEA","247","161","91.9","111.0","18.2","19","11.8%","76","47.2%",".246",".245",".429",".450",".319",".328","14274"
"Bo Bichette","TOR","697","499","91.9","112.4","8.5","48","9.6%","251","50.3%",".290",".278",".469",".444",".347",".334","19612"
"Lars Nootbaar","STL","347","224","91.7","113.0","10.7","27","12.1%","103","46.0%",".228",".247",".448",".414",".342",".346","21454"
"Ryan McMahon","COL","597","374","91.7","113.7","10.8","39","10.4%","173","46.3%",".246",".248",".414",".423",".326",".330","15112"
"Keston Hiura","MIL","266","124","91.7","111.0","16.1","19","15.3%","56","45.2%",".226",".205",".449",".425",".334",".317","20003"
"Mike Trout","LAA","499","300","91.6","114.4","24.6","59","19.7%","151","50.3%",".283",".265",".630",".583",".418",".395","10155"
"Christian Yelich","MIL","671","416","91.5","117.2","3.6","34","8.2%","200","48.1%",".252",".258",".383",".404",".328",".339","11477"
"Manny Machado","SDP","644","447","91.5","112.4","16.0","44","9.8%","219","49.0%",".298",".264",".531",".447",".382",".338","11493"
"Salvador Perez","KCR","473","339","91.4","112.5","17.8","38","11.2%","166","49.0%",".254",".245",".465",".473",".324",".326","7304"
"Joey Meneses","WSN","240","172","91.4","110.9","9.5","17","9.9%","81","47.1%",".324",".267",".563",".457",".395",".332","14366"
"Freddie Freeman","LAD","708","517","91.3","112.3","13.6","52","10.1%","248","48.0%",".325",".313",".511",".538",".393",".403","5361"
"Ryan Mountcastle","BAL","609","408","91.3","112.0","15.9","61","15.0%","187","45.8%",".250",".277",".423",".509",".316",".362","18373"
"Jorge Soler","MIA","306","182","91.2","117.6","13.7","22","12.1%","79","43.4%",".207",".226",".400",".421",".305",".322","14221"
"Albert Pujols","STL","351","258","91.2","111.7","16.4","31","12.0%","122","47.3%",".270",".262",".550",".499",".380",".365","1177"
"Vinnie Pasquantino","KCR","298","226","91.2","112.7","12.1","20","8.8%","106","46.9%",".295",".289",".450",".476",".365",".374","27676"
"Ronald Acuna Jr.","ATL","533","344","91.2","116.6","10.8","44","12.8%","171","49.7%",".266",".272",".413",".486",".335",".366","18401"
"Matt Vierling","PHI","357","261","91.2","112.1","12.0","13","5.0%","123","47.1%",".246",".279",".351",".408",".285",".327","21558"
"Evan Longoria","SFG","298","186","91.1","109.6","18.2","23","12.4%","87","46.8%",".244",".233",".451",".437",".330",".324","9368"
"Corey Seager","TEX","663","495","91.1","111.3","13.6","52","10.5%","225","45.5%",".245",".283",".455",".510",".331",".372","13624"
"Brad Miller","TEX","241","153","91.1","110.7","14.1","12","7.8%","61","39.9%",".212",".205",".320",".344",".263",".269","12775"
"Rowdy Tellez","MIL","599","411","91.1","116.9","15.3","53","12.9%","188","45.7%",".219",".252",".461",".479",".327",".349","15679"
"Ke'Bryan Hayes","PIT","560","385","91.0","113.0","5.2","15","3.9%","180","46.8%",".244",".250",".345",".354",".294",".303","18577"
"Juan Soto","- - -","664","429","91.0","113.2","9.1","53","12.4%","203","47.3%",".242",".266",".452",".501",".376",".401","20123"
"Nelson Cruz","WSN","507","335","90.9","113.8","7.2","31","9.3%","153","45.7%",".234",".241",".337",".399",".292",".320","2434"
"Kyle Higashioka","NYY","248","183","90.9","109.1","17.2","18","9.8%","88","48.1%",".227",".254",".389",".444",".282",".317","5517"
"Cal Raleigh","SEA","415","253","90.9","114.0","22.5","39","15.4%","110","43.5%",".211",".216",".489",".461",".330",".324","21534"
"Kole Calhoun","TEX","424","255","90.8","109.9","15.4","25","9.8%","123","48.2%",".196",".223",".330",".382",".260",".294","11200"
"Bryan De La Cruz","MIA","355","244","90.8","111.2","9.8","29","11.9%","115","47.1%",".252",".287",".432",".498",".313",".355","19600"
"Andrew Vaughn","CHW","555","419","90.8","112.1","7.5","33","7.9%","203","48.4%",".271",".255",".429",".415",".327",".319","26197"
"Carlos Santana","- - -","506","345","90.7","111.3","15.4","32","9.3%","155","44.9%",".202",".253",".376",".438",".308",".352","2396"
"MJ Melendez","KCR","534","336","90.7","110.8","15.1","35","10.4%","146","43.5%",".217",".237",".393",".410",".310",".332","22197"
"Paul Goldschmidt","STL","651","426","90.7","112.3","15.7","49","11.5%","200","46.9%",".317",".261",".578",".482",".419",".367","9218"
"Patrick Wisdom","CHC","534","289","90.7","112.6","21.0","41","14.2%","133","46.0%",".207",".188",".426",".380",".316",".295","13602"
"Orlando Arcia","ATL","234","160","90.7","107.9","11.7","12","7.5%","68","42.5%",".244",".253",".416",".421",".321",".329","13185"
"Josh Donaldson","NYY","546","336","90.7","111.7","12.0","33","9.8%","145","43.2%",".222",".215",".374",".370",".302",".299","5038"
"Lourdes Gurriel Jr.","TOR","493","373","90.6","109.5","10.9","14","3.8%","169","45.3%",".291",".273",".400",".400",".327",".321","19238"
"Nick Gordon","MIN","443","309","90.6","110.7","12.5","29","9.4%","137","44.3%",".272",".261",".427",".464",".321",".333","16337"
"Hunter Renfroe","MIL","522","358","90.5","112.5","17.7","39","10.9%","155","43.3%",".255",".240",".492",".438",".347",".323","15464"
"Mookie Betts","LAD","639","472","90.5","109.0","18.6","46","9.7%","211","44.7%",".269",".254",".533",".465",".373",".344","13611"
"Spencer Torkelson","DET","404","263","90.5","111.5","15.0","22","8.4%","109","41.4%",".203",".226",".319",".378",".272",".305","27465"
"Gary Sanchez","MIN","471","288","90.5","115.1","14.0","39","13.5%","142","49.3%",".205",".220",".377",".439",".290",".321","11442"
"Alejandro Kirk","TOR","541","416","90.5","110.1","8.1","28","6.7%","187","45.0%",".285",".278",".415",".431",".347",".351","22581"
"William Contreras","ATL","376","232","90.4","115.2","6.1","31","13.4%","108","46.6%",".278",".243",".506",".479",".370",".347","20503"
"Willson Contreras","CHC","487","315","90.4","116.2","8.5","33","10.5%","151","47.9%",".243",".256",".466",".463",".357",".364","11609"
"Emmanuel Rivera","- - -","359","248","90.4","110.9","9.8","23","9.3%","95","38.3%",".233",".238",".409",".410",".306",".310","19890"
"Gleyber Torres","NYY","572","401","90.4","111.3","17.5","43","10.7%","180","44.9%",".257",".244",".451",".441",".328",".319","16997"
"Danny Jansen","TOR","248","176","90.4","109.3","22.2","23","13.1%","82","46.6%",".260",".264",".516",".514",".364",".368","16535"
"David Peralta","- - -","490","331","90.3","113.0","15.1","28","8.5%","146","44.1%",".251",".249",".415",".399",".315",".313","2136"
"Tyler Naquin","- - -","334","218","90.3","112.7","14.4","21","9.6%","89","40.8%",".229",".247",".423",".433",".303",".317","13359"
"Bobby Dalbec","BOS","353","203","90.3","113.9","15.2","24","11.8%","92","45.3%",".215",".216",".369",".379",".287",".296","19966"
"Max Muncy","LAD","565","329","90.3","111.2","20.9","44","13.4%","147","44.7%",".196",".208",".384",".417",".318",".339","13301"
"J.T. Realmuto","PHI","562","390","90.3","110.4","13.1","44","11.3%","182","46.7%",".276",".275",".478",".463",".354",".351","11739"
"Nathaniel Lowe","TEX","645","446","90.3","113.0","8.0","44","9.9%","200","44.8%",".302",".275",".492",".459",".368",".344","19566"
"Bryan Reynolds","PIT","614","403","90.2","113.2","12.0","32","7.9%","173","42.9%",".262",".249",".461",".416",".349",".329","19326"
"Jazz Chisholm Jr.","MIA","241","151","90.2","109.6","15.1","25","16.6%","69","45.7%",".254",".242",".535",".473",".365",".345","20454"
"Matt Reynolds","- - -","272","167","90.2","106.7","5.6","5","3.0%","70","41.9%",".246",".215",".332",".305",".293",".272","13788"
"Alec Bohm","PHI","631","486","90.2","110.8","10.4","33","6.8%","209","43.0%",".280",".290",".398",".436",".310",".333","21618"
"Dansby Swanson","ATL","696","462","90.2","109.6","15.7","50","10.8%","213","46.1%",".277",".257",".447",".461",".337",".337","18314"
"Rhys Hoskins","PHI","672","425","90.1","112.2","18.1","47","11.1%","188","44.2%",".246",".239",".462",".445",".345",".338","16472"
"Ketel Marte","ARI","558","396","90.1","115.0","13.5","24","6.1%","166","41.9%",".240",".251",".407",".377",".317",".315","13613"
"Christian Bethancourt","- - -","333","239","90.1","113.4","9.4","28","11.7%","106","44.4%",".252",".255",".409",".449",".301",".318","10028"
"Anthony Santander","BAL","647","457","90.1","112.0","21.4","53","11.6%","198","43.3%",".240",".257",".455",".471",".336",".352","14551"
"Jared Walsh","LAA","454","285","90.1","112.1","10.7","27","9.5%","121","42.5%",".215",".221",".374",".368",".278",".280","18607"
"Christian Walker","ARI","667","459","90.0","112.6","17.0","53","11.5%","202","44.0%",".242",".257",".477",".484",".346",".359","13419"
"Kyle Tucker","HOU","609","454","90.0","111.3","19.0","46","10.1%","190","41.9%",".257",".262",".478",".482",".348",".353","18345"
"Randal Grichuk","COL","538","381","90.0","111.6","8.7","26","6.8%","166","43.6%",".259",".229",".425",".370",".315",".281","10243"
"Brendan Rodgers","COL","581","431","90.0","112.2","4.6","31","7.2%","198","45.9%",".266",".265",".408",".404",".321",".326","17907"
"Yasmani Grandal","CHW","376","250","90.0","110.2","12.1","12","4.8%","99","39.6%",".202",".217",".269",".319",".263",".290","11368"
"Taylor Ward","LAA","564","380","89.9","112.6","15.8","46","12.1%","161","42.4%",".281",".268",".473",".474",".362",".361","17548"
"Randy Arozarena","TBR","645","432","89.9","114.1","8.9","34","7.9%","176","40.7%",".263",".234",".445",".382",".336",".301","19290"
"Calvin Mitchell","PIT","232","162","89.9","107.3","7.5","8","4.9%","66","40.7%",".226",".238",".349",".358",".281",".292","22169"
"Will Smith","LAD","578","416","89.9","109.0","18.4","43","10.3%","179","43.0%",".260",".257",".465",".473",".349",".352","19197"
"Miguel Cabrera","DET","433","301","89.9","111.0","5.0","14","4.7%","115","38.2%",".254",".234",".317",".331",".275",".275","1744"
"Carlos Correa","MIN","590","405","89.9","114.6","11.6","46","11.4%","181","44.7%",".291",".276",".467",".484",".362",".363","14162"
"Mike Yastrzemski","SFG","558","351","89.9","109.7","19.9","39","11.1%","149","42.5%",".214",".220",".392",".392",".307",".314","14854"
"Michael Brantley","HOU","277","215","89.8","108.2","10.7","13","6.0%","97","45.1%",".288",".310",".416",".467",".345",".374","4106"
